Team,#,POS.,FIFA POPULAR NAME,BIRTH DATE,SHIRT NAME,CLUB,HEIGHT,WEIGHT,ilk isim,soyisim
Denmark,21,FW,CORNELIUS Andreas,16.03.1993,CORNELIUS,Atalanta Bergamo (ITA),195,91,CORNELIUS,Andreas
Denmark,1,GK,SCHMEICHEL Kasper,05.11.1986,SCHMEICHEL,Leicester City FC (ENG),190,92,SCHMEICHEL,Kasper
Denmark,3,DF,VESTERGAARD Jannik,03.08.1992,VESTERGAARD,VfL Borussia Mönchengladbach (GER),200,98,VESTERGAARD,Jannik
Egypt,8,MF,TAREK HAMED,24.10.1988,TAREK HAMED,Zamalek (EGY),169,67,TAREK,HAMED
Egypt,4,MF,OMAR GABER,30.01.1992,O. GABER,Los Angeles FC (USA),175,71,OMAR,GABER
Egypt,10,FW,MOHAMED SALAH,15.06.1992,M SALAH,Liverpool FC (ENG),175,71,MOHAMED,SALAH
Egypt,13,DF,MOHAMED ABDELSHAFY,01.07.1985,ABDELSHAFY,Al Fateh FC (KSA),171,72,MOHAMED,ABDELSHAFY
Egypt,15,DF,MAHMOUD HAMDY,01.06.1995,M. HAMDY,Zamalek (EGY),173,72,MAHMOUD,HAMDY
Egypt,12,DF,AYMAN ASHRAF,09.04.1991,A. ASHRAF,Al Ahly SC (EGY),176,73,AYMAN,ASHRAF
Egypt,17,MF,MOHAMED ELNENY,11.07.1992,M. ELNENY,Arsenal FC (ENG),181,74,MOHAMED,ELNENY
Egypt,5,MF,SAM MORSY,10.09.1991,MORSY,Wigan Athletic FC (ENG),173,75,SAM,MORSY
Egypt,19,MF,ABDALLA SAID,13.07.1985,ABDALLA,Kuopion PS (FIN),176,75,ABDALLA,SAID
Egypt,3,DF,AHMED ELMOHAMADY,09.09.1987,ELMOHAMADY,Aston Villa FC (ENG),183,76,AHMED,ELMOHAMADY
Egypt,7,DF,AHMED FATHI,10.11.1984,A. FATHI,Al Ahly SC (EGY),176,76,AHMED,FATHI
Egypt,11,FW,KAHRABA,13.04.1994,M. KAHRABA,Al-Ittihad FC (KSA),182,76,KAHRABA,
Egypt,14,FW,RAMADAN SOBHY,23.01.1997,RAMADAN,Stoke City FC (ENG),183,77,RAMADAN,SOBHY
Egypt,21,MF,TREZEGUET,01.10.1994,M. TREZEGUET,Kasimpasa SK (TUR),181,77,TREZEGUET,
Egypt,22,FW,AMR WARDA,17.09.1993,WARDA,Atromitos FC (GRE),179,77,AMR,WARDA
Egypt,18,FW,SHIKABALA,05.03.1986,SHIKABALA,Al Raed SC (KSA),183,80,SHIKABALA,
Egypt,9,FW,MARWAN MOHSEN,26.02.1989,MARWAN,Al Ahly SC (EGY),185,81,MARWAN,MOHSEN
Egypt,20,DF,SAMIR SAAD,01.04.1989,S. SAMIR,Al Ahly SC (EGY),183,82,SAMIR,SAAD
Egypt,23,GK,MOHAMED ELSHENAWY,18.12.1988,M. ELSHENAWY,Al Ahly SC (EGY),191,86,MOHAMED,ELSHENAWY
Egypt,2,DF,ALI GABR,01.01.1989,ALI GABR,West Bromwich Albion FC (ENG),191,88,ALI,GABR
Egypt,1,GK,ESSAM EL HADARY,15.01.1973,ELHADARY,Al Taawoun FC (KSA),190,90,ESSAM,EL HADARY
Egypt,16,GK,SHERIF EKRAMY,10.07.1983,EKRAMY,Al Ahly SC (EGY),193,93,SHERIF,EKRAMY
Egypt,6,DF,AHMED HEGAZY,25.01.1991,A. HEGAZY,West Bromwich Albion FC (ENG),194,95,AHMED,HEGAZY
England,7,MF,LINGARD Jesse,15.12.1992,LINGARD,Manchester United FC (ENG),175,60,LINGARD,Jesse
England,10,FW,STERLING Raheem,08.12.1994,STERLING,Manchester City FC (ENG),170,70,STERLING,Raheem
England,22,DF,ALEXANDER-ARNOLD Trent,07.10.1998,ALEXANDER-ARNOLD,Liverpool FC (ENG),175,70,ALEXANDER-ARNOLD,Trent
England,1,GK,PICKFORD Jordan,07.03.1994,PICKFORD,Everton FC (ENG),185,72,PICKFORD,Jordan
England,5,DF,STONES John,28.05.1994,STONES,Manchester City FC (ENG),188,72,STONES,John
England,12,DF,TRIPPIER Kieran,19.09.1990,TRIPPIER,Tottenham Hotspur FC (ENG),178,72,TRIPPIER,Kieran
England,16,DF,JONES Phil,21.02.1992,JONES,Manchester United FC (ENG),182,72,JONES,Phil
England,21,MF,LOFTUS-CHEEK Ruben,23.01.1996,LOFTUS-CHEEK,Chelsea FC (ENG),190,73,LOFTUS-CHEEK,Ruben
England,3,DF,ROSE Danny,02.07.1990,ROSE,Tottenham Hotspur FC (ENG),173,76,ROSE,Danny
England,20,MF,ALLI Dele,11.04.1996,DELE,Tottenham Hotspur FC (ENG),188,76,ALLI,Dele
England,23,GK,POPE Nick,19.04.1992,POPE,Burnley FC (ENG),191,76,POPE,Nick
England,14,FW,WELBECK Danny,26.11.1990,WELBECK,Arsenal FC (ENG),184,78,WELBECK,Danny
England,17,DF,DELPH Fabian,21.11.1989,DELPH,Manchester City FC (ENG),174,78,DELPH,Fabian
England,18,DF,YOUNG Ashley,09.07.1985,YOUNG,Manchester United FC (ENG),175,78,YOUNG,Ashley
England,19,FW,RASHFORD Marcus,31.10.1997,RASHFORD,Manchester United FC (ENG),180,78,RASHFORD,Marcus
England,11,FW,VARDY Jamie,11.01.1987,VARDY,Leicester City FC (ENG),178,80,VARDY,Jamie
England,8,MF,HENDERSON Jordan,17.06.1990,HENDERSON,Liverpool FC (ENG),183,82,HENDERSON,Jordan
England,2,DF,WALKER Kyle,28.05.1990,WALKER,Manchester City FC (ENG),178,83,WALKER,Kyle
England,15,DF,CAHILL Gary,19.12.1985,CAHILL,Chelsea FC (ENG),191,85,CAHILL,Gary
England,4,MF,DIER Eric,15.01.1994,DIER,Tottenham Hotspur FC (ENG),188,90,DIER,Eric
England,13,GK,BUTLAND Jack,10.03.1993,BUTLAND,Stoke City FC (ENG),196,96,BUTLAND,Jack
England,6,DF,MAGUIRE Harry,05.03.1993,MAGUIRE,Leicester City FC (ENG),193,98,MAGUIRE,Harry
England,9,FW,KANE Harry,28.07.1993,KANE,Tottenham Hotspur FC (ENG),188,98,KANE,Harry
France,8,FW,LEMAR Thomas,12.11.1995,LEMAR,AS Monaco (FRA),172,65,LEMAR,Thomas
France,11,FW,DEMBELE Ousmane,15.05.1997,DEMBELE,FC Barcelona (ESP),178,70,DEMBELE,Ousmane
France,13,MF,KANTE Ngolo,29.03.1991,KANTE,Chelsea FC (ENG),168,70,KANTE,Ngolo
France,7,FW,GRIEZMANN Antoine,21.03.1991,GRIEZMANN,Atletico Madrid (ESP),174,72,GRIEZMANN,Antoine
France,14,MF,MATUIDI Blaise,09.04.1987,MATUIDI,Juventus FC (ITA),180,74,MATUIDI,Blaise
France,2,DF,PAVARD Benjamin,28.03.1996,PAVARD,VfB Stuttgart (GER),186,76,PAVARD,Benjamin
France,18,FW,FEKIR Nabil,18.07.1993,FEKIR,Olympique Lyon (FRA),173,76,FEKIR,Nabil
France,20,FW,THAUVIN Florian,26.01.1993,THAUVIN,Olympique Marseille (FRA),180,76,THAUVIN,Florian
France,21,DF,HERNANDEZ Lucas,14.02.1996,HERNANDEZ,Atletico Madrid (ESP),183,76,HERNANDEZ,Lucas
France,3,DF,KIMPEMBE Presnel,13.08.1995,KIMPEMBE,Paris Saint-Germain FC (FRA),182,78,KIMPEMBE,Presnel
France,10,FW,MBAPPE Kylian,20.12.1998,MBAPPE,Paris Saint-Germain FC (FRA),178,78,MBAPPE,Kylian
France,4,DF,VARANE Raphael,25.04.1993,VARANE,Real Madrid CF (ESP),191,79,VARANE,Raphael
France,19,DF,SIDIBE Djibril,29.07.1992,SIDIBE,AS Monaco (FRA),184,81,SIDIBE,Djibril
France,1,GK,LLORIS Hugo,26.12.1986,LLORIS,Tottenham Hotspur FC (ENG),188,82,LLORIS,Hugo
France,12,MF,TOLISSO Corentin,03.08.1994,TOLISSO,FC Bayern München (GER),180,82,TOLISSO,Corentin
France,5,DF,UMTITI Samuel,14.11.1993,UMTITI,FC Barcelona (ESP),183,84,UMTITI,Samuel
France,22,DF,MENDY Benjamin,17.07.1994,MENDY,Manchester City FC (ENG),183,84,MENDY,Benjamin
France,6,MF,POGBA Paul,15.03.1993,POGBA,Manchester United FC (ENG),191,86,POGBA,Paul
France,15,MF,NZONZI Steven,15.12.1988,NZONZI,Sevilla FC (ESP),197,87,NZONZI,Steven
France,16,GK,MANDANDA Steve,28.03.1985,MANDANDA,Olympique Marseille (FRA),187,88,MANDANDA,Steve
France,17,DF,RAMI Adil,27.12.1985,RAMI,Olympique Marseille (FRA),190,90,RAMI,Adil
France,9,FW,GIROUD Olivier,30.09.1986,GIROUD,Chelsea FC (ENG),193,91,GIROUD,Olivier
France,23,GK,AREOLA Alphonse,27.02.1993,AREOLA,Paris Saint-Germain FC (FRA),195,95,AREOLA,Alphonse
Germany,11,FW,REUS Marco,31.05.1989,REUS,Borussia Dortmund (GER),180,67,REUS,Marco
Germany,10,MF,OEZIL Mesut,15.10.1988,ÖZIL,Arsenal FC (ENG),180,70,OEZIL,Mesut
Germany,18,DF,KIMMICH Joshua,08.02.1995,KIMMICH,FC Bayern München (GER),176,72,KIMMICH,Joshua
Germany,7,MF,DRAXLER Julian,20.09.1993,DRAXLER,Paris Saint-Germain FC (FRA),185,74,DRAXLER,Julian
Germany,19,MF,RUDY Sebastian,28.02.1990,RUDY,FC Bayern München (GER),179,74,RUDY,Sebastian
Germany,3,DF,HECTOR Jonas,27.05.1990,HECTOR,1. FC Köln (GER),185,75,HECTOR,Jonas
Germany,9,FW,WERNER Timo,06.03.1996,WERNER,RB Leipzig (GER),181,75,WERNER,Timo
Germany,13,MF,MUELLER Thomas,13.09.1989,MÜLLER,FC Bayern München (GER),186,75,MUELLER,Thomas
Germany,2,DF,PLATTENHARDT Marvin,26.01.1992,PLATTENHARDT,Hertha BSC (GER),181,76,PLATTENHARDT,Marvin
Germany,14,MF,GORETZKA Leon,06.02.1995,GORETZKA,FC Schalke 04 (GER),189,76,GORETZKA,Leon
Germany,8,MF,KROOS Toni,04.01.1990,KROOS,Real Madrid CF (ESP),182,78,KROOS,Toni
Germany,21,MF,GUENDOGAN Ilkay,24.10.1990,GÜNDOGAN,Manchester City FC (ENG),180,79,GUENDOGAN,Ilkay
Germany,6,DF,KHEDIRA Sami,04.04.1987,KHEDIRA,Juventus FC (ITA),189,81,KHEDIRA,Sami
Germany,20,MF,BRANDT Julian,02.05.1996,BRANDT,Bayer 04 Leverkusen (GER),183,82,BRANDT,Julian
Germany,23,FW,GOMEZ Mario,10.07.1985,GOMEZ,VfB Stuttgart (GER),189,82,GOMEZ,Mario
Germany,4,DF,GINTER Matthias,19.01.1994,GINTER,VfL Borussia Mönchengladbach (GER),189,85,GINTER,Matthias
Germany,16,DF,RUEDIGER Antonio,03.03.1993,RÜDIGER,Chelsea FC (ENG),191,85,RUEDIGER,Antonio
Germany,22,GK,TER STEGEN Marc-Andre,30.04.1992,TER STEGEN,FC Barcelona (ESP),187,85,TER,STEGEN Marc-Andre
Germany,12,GK,TRAPP Kevin,08.07.1990,TRAPP,Paris Saint-Germain FC (FRA),189,88,TRAPP,Kevin
Germany,15,DF,SUELE Niklas,03.09.1995,SÜLE,FC Bayern München (GER),195,89,SUELE,Niklas
Germany,5,DF,HUMMELS Mats,16.12.1988,HUMMELS,FC Bayern München (GER),192,90,HUMMELS,Mats
Germany,17,DF,BOATENG Jerome,03.09.1988,BOATENG,FC Bayern München (GER),192,90,BOATENG,Jerome
Germany,1,GK,NEUER Manuel,27.03.1986,NEUER,FC Bayern München (GER),193,93,NEUER,Manuel
Iceland,23,DF,SKULASON Ari,14.05.1987,A. SKÚLASON,KSC Lokeren (BEL),170,63,SKULASON,Ari
Iceland,21,MF,TRAUSTASON Arnor,30.04.1993,TRAUSTASON,Malmö FF (SWE),183,73,TRAUSTASON,Arnor
Iceland,2,DF,SAEVARSSON Birkir,11.11.1984,SÆVARSSON,Valur Reykjavik (ISL),186,75,SAEVARSSON,Birkir
Iceland,13,GK,RUNARSSON Runar,18.02.1995,RÚNARSSON,FC Nordsjaelland (DEN),186,76,RUNARSSON,Runar
Iceland,7,MF,GUDMUNDSSON Johann,27.10.1990,J. GUDMUNDSSON,Burnley FC (ENG),179,77,GUDMUNDSSON,Johann
Iceland,8,MF,BJARNASON Birkir,27.05.1988,B. BJARNASON,Aston Villa FC (ENG),183,77,BJARNASON,Birkir
Iceland,3,MF,FRIDJONSSON Samuel,22.02.1996,FRIDJÓNSSON,Valerenga IF (NOR),185,78,FRIDJONSSON,Samuel
Iceland,19,MF,GISLASON Rurik,25.02.1988,GISLASON,SV Sandhausen (GER),184,78,GISLASON,Rurik
Iceland,11,FW,FINNBOGASON Alfred,01.02.1989,FINNBOGASON,FC Augsburg (GER),185,79,FINNBOGASON,Alfred
Iceland,16,MF,SKULASON Olafur,01.04.1983,Ó. SKÚLASON,Karabukspor (TUR),184,79,SKULASON,Olafur
Iceland,4,MF,GUDMUNDSSON Albert,15.06.1997,A. GUDMUNDSSON,PSV Eindhoven (NED),177,80,GUDMUNDSSON,Albert
Iceland,5,DF,INGASON Sverrir,05.08.1993,INGASON,FC Rostov (RUS),188,80,INGASON,Sverrir
Iceland,15,DF,EYJOLFSSON Holmar,06.08.1990,EYJÓLFSSON,Levski Sofia (BUL),188,81,EYJOLFSSON,Holmar
Iceland,10,MF,SIGURDSSON Gylfi,08.09.1989,G. SIGURDSSON,Everton FC (ENG),186,82,SIGURDSSON,Gylfi
Iceland,14,DF,ARNASON Kari,13.10.1982,ARNASON,Aberdeen FC (SCO),191,82,ARNASON,Kari
Iceland,9,FW,SIGURDARSON Bjorn,26.02.1991,SIGURDARSON,FC Rostov (RUS),187,85,SIGURDARSON,Bjorn
Iceland,18,DF,MAGNUSSON Hordur,11.02.1993,MAGNÚSSON,Bristol City FC (ENG),191,85,MAGNUSSON,Hordur
Iceland,6,DF,SIGURDSSON Ragnar,19.06.1986,R. SIGURDSSON,FC Rostov (RUS),187,86,SIGURDSSON,Ragnar
Iceland,17,MF,GUNNARSSON Aron,22.04.1989,GUNNARSSON,Cardiff City FC (WAL),181,86,GUNNARSSON,Aron
Iceland,20,MF,HALLFREDSSON Emil,29.06.1984,HALLFREDSSON,Udinese Calcio (ITA),186,86,HALLFREDSSON,Emil
Iceland,1,GK,HALLDORSSON Hannes,27.04.1984,HALLDORSSON,Randers FC (DEN),193,88,HALLDORSSON,Hannes
Iceland,22,FW,BODVARSSON Jon,25.05.1992,BÖDVARSSON,Reading FC (ENG),189,89,BODVARSSON,Jon
Iceland,12,GK,SCHRAM Frederik,19.01.1995,SCHRAM,Roskilde BK (DEN),198,92,SCHRAM,Frederik
IR Iran,5,DF,MOHAMMADI Milad,29.09.1993,M. MOHAMMADI,FC Akhmat Grozny (RUS),178,69,MOHAMMADI,Milad
IR Iran,2,MF,TORABI Mehdi,10.09.1994,M. TORABI,Saipa Alborz FC (IRN),185,71,TORABI,Mehdi
IR Iran,11,MF,AMIRI Vahid,02.04.1988,V. AMIRI,Persepolis FC (IRN),179,71,AMIRI,Vahid
IR Iran,3,DF,HAJI SAFI Ehsan,25.02.1990,HAJI SAFI,Olympiacos Piraeus FC (GRE),178,75,HAJI,SAFI Ehsan
IR Iran,9,MF,EBRAHIMI Omid,16.09.1987,OMID,Esteghlal Tehran FC (IRN),178,75,EBRAHIMI,Omid
IR Iran,23,DF,REZAEIAN Ramin,21.03.1990,RAMIN,KV Oostende (BEL),185,75,REZAEIAN,Ramin
IR Iran,15,DF,MONTAZERI Pejman,06.09.1983,P. MONTAZERI,Esteghlal Tehran FC (IRN),185,77,MONTAZERI,Pejman
IR Iran,18,FW,JAHANBAKHSH Alireza,11.08.1993,A. JAHANBAKHSH,AZ Alkmaar (NED),180,77,JAHANBAKHSH,Alireza
IR Iran,19,DF,HOSSEINI Majid,20.06.1996,M. HOSSEINI,Esteghlal Tehran FC (IRN),183,78,HOSSEINI,Majid
IR Iran,21,FW,DEJAGAH Ashkan,05.07.1986,DEJAGAH,Nottingham Forest FC (ENG),181,78,DEJAGAH,Ashkan
IR Iran,7,MF,SHOJAEI Masoud,09.06.1984,SHOJAEI M.,AEK Athens (GRE),187,79,SHOJAEI,Masoud
IR Iran,14,FW,GHODDOS  Saman,06.09.1993,GHODDOS,IFK Östersund FK (SWE),177,79,GHODDOS, Saman
IR Iran,16,FW,GHOOCHANNEJHAD Reza,20.09.1987,REZA,SC Heerenveen (NED),180,79,GHOOCHANNEJHAD,Reza
IR Iran,4,DF,CHESHMI Roozbeh,24.07.1993,R. CHESHMI,Esteghlal Tehran FC (IRN),192,80,CHESHMI,Roozbeh
IR Iran,10,FW,ANSARIFARD Karim,03.04.1990,KARIM,Olympiacos Piraeus FC (GRE),187,80,ANSARIFARD,Karim
IR Iran,13,DF,KHANZADEH Mohammad Reza,11.05.1991,M.R. KHANZADEH,Padideh FC (IRN),186,80,KHANZADEH,Mohammad Reza
IR Iran,17,FW,TAREMI Mehdi,18.07.1992,MEHDI,Al Gharafa SC (QAT),187,80,TAREMI,Mehdi
IR Iran,20,FW,AZMOUN Sardar,01.01.1995,SARDAR,FC Rubin Kazan (RUS),186,80,AZMOUN,Sardar
IR Iran,22,GK,ABEDZADEH Amir,26.04.1993,ABEDZADEH,CS Maritimo (POR),186,80,ABEDZADEH,Amir
IR Iran,6,MF,EZATOLAHI Saeid,01.10.1996,S. EZATOLAHI,FK Amkar Perm (RUS),190,82,EZATOLAHI,Saeid
IR Iran,8,DF,POURALIGANJI Morteza,19.04.1992,M. POURALIGANJI,Al Sadd SC (QAT),187,83,POURALIGANJI,Morteza
IR Iran,12,GK,MAZAHERI Rashid,18.05.1989,RASHID,Zob Ahan Isfahan FC (IRN),192,84,MAZAHERI,Rashid
IR Iran,1,GK,BEIRANVAND Ali,21.09.1992,A. BEIRANVAND,Persepolis FC (IRN),194,85,BEIRANVAND,Ali
Japan,14,MF,INUI Takashi,02.06.1988,INUI,SD Eibar (ESP),169,59,INUI,Takashi
Japan,7,MF,SHIBASAKI Gaku,28.05.1992,SHIBASAKI,Getafe CF (ESP),175,64,SHIBASAKI,Gaku
Japan,18,MF,OSHIMA Ryota,23.01.1993,OHSHIMA,Kawasaki Frontale (JPN),168,64,OSHIMA,Ryota
Japan,5,DF,NAGATOMO Yuto,12.09.1986,NAGATOMO,Galatasaray SK (TUR),170,68,NAGATOMO,Yuto
Japan,8,MF,HARAGUCHI Genki,09.05.1991,HARAGUCHI,Fortuna Düsseldorf (GER),178,68,HARAGUCHI,Genki
Japan,10,MF,KAGAWA Shinji,17.03.1989,KAGAWA,Borussia Dortmund (GER),175,68,KAGAWA,Shinji
Japan,9,FW,OKAZAKI Shinji,16.04.1986,OKAZAKI,Leicester City FC (ENG),174,70,OKAZAKI,Shinji
Japan,19,DF,SAKAI Hiroki,12.04.1990,H. SAKAI,Olympique Marseille (FRA),183,70,SAKAI,Hiroki
Japan,15,FW,OSAKO Yuya,18.05.1990,OSAKO,1. FC Köln (GER),182,71,OSAKO,Yuya
Japan,11,MF,USAMI Takashi,06.05.1992,USAMI,Fortuna Düsseldorf (GER),178,72,USAMI,Takashi
Japan,13,FW,MUTO Yoshinori,15.07.1992,MUTO,FSV Mainz 05 (GER),179,72,MUTO,Yoshinori
Japan,16,MF,YAMAGUCHI Hotaru,06.10.1990,YAMAGUCHI,Cerezo Osaka (JPN),173,72,YAMAGUCHI,Hotaru
Japan,17,MF,HASEBE Makoto,18.01.1984,HASEBE,Eintracht Frankfurt (GER),180,72,HASEBE,Makoto
Japan,23,GK,NAKAMURA Kosuke,27.02.1995,NAKAMURA,Kashiwa Reysol (JPN),184,72,NAKAMURA,Kosuke
Japan,1,GK,KAWASHIMA Eiji,20.03.1983,KAWASHIMA,FC Metz (FRA),185,74,KAWASHIMA,Eiji
Japan,3,DF,SHOJI Gen,11.12.1992,SHOJI,Kashima Antlers (JPN),182,74,SHOJI,Gen
Japan,4,MF,HONDA Keisuke,13.06.1986,HONDA,CF Pachuca (MEX),182,74,HONDA,Keisuke
Japan,21,DF,SAKAI Gotoku,14.03.1991,G. SAKAI,Hamburger SV (GER),176,74,SAKAI,Gotoku
Japan,6,DF,ENDO Wataru,09.02.1993,ENDO,Urawa Reds (JPN),178,75,ENDO,Wataru
Japan,20,DF,MAKINO Tomoaki,11.05.1987,MAKINO,Urawa Reds (JPN),182,77,MAKINO,Tomoaki
Japan,12,GK,HIGASHIGUCHI Masaaki,12.05.1986,HIGASHIGUCHI,Gamba Osaka (JPN),184,78,HIGASHIGUCHI,Masaaki
Japan,22,DF,YOSHIDA Maya,24.08.1988,YOSHIDA,Southampton FC (ENG),189,78,YOSHIDA,Maya
Japan,2,DF,UEDA Naomichi,24.10.1994,UEDA,Kashima Antlers (JPN),186,79,UEDA,Naomichi
Korea Republic,10,MF,LEE Seungwoo,06.01.1998,S W LEE,Hellas Verona FC (ITA),170,63,LEE,Seungwoo
Korea Republic,22,DF,GO Yohan,10.03.1988,Y H GO,FC Seoul (KOR),170,65,GO,Yohan
Korea Republic,14,DF,HONG Chul,17.09.1990,C HONG,Sangju Sangmu FC (KOR),176,67,HONG,Chul
Korea Republic,18,MF,MOON Seonmin,09.06.1992,S M MOON,Incheon United FC (KOR),172,68,MOON,Seonmin
Korea Republic,12,DF,KIM Minwoo,25.02.1990,M W KIM,Sangju Sangmu FC (KOR),172,69,KIM,Minwoo
Korea Republic,8,MF,JU Sejong,30.10.1990,S J JU,Asan Mugunghwa FC (KOR),176,70,JU,Sejong
Korea Republic,17,MF,LEE Jaesung,10.08.1992,J S LEE,Jeonbuk Hyundai (KOR),180,70,LEE,Jaesung
Korea Republic,6,DF,PARK Jooho,16.01.1987,J H PARK,Ulsan Hyundai FC (KOR),174,71,PARK,Jooho
Korea Republic,13,MF,KOO Jacheol,27.02.1989,J C KOO,FC Augsburg (GER),182,73,KOO,Jacheol
Korea Republic,2,DF,LEE Yong,24.12.1986,Y LEE,Jeonbuk Hyundai (KOR),180,74,LEE,Yong
Korea Republic,3,DF,JUNG Seunghyun,03.04.1994,S H JUNG,Sagan Tosu FC (JPN),188,74,JUNG,Seunghyun
Korea Republic,19,DF,KIM Younggwon,27.02.1990,Y G KIM,Guangzhou Evergrande FC (CHN),184,74,KIM,Younggwon
Korea Republic,16,MF,KI Sungyueng,24.01.1989,S Y KI,Swansea City AFC (WAL),186,75,KI,Sungyueng
Korea Republic,23,GK,JO Hyeonwoo,25.09.1991,H W JO,Daegu FC (KOR),189,75,JO,Hyeonwoo
Korea Republic,7,FW,SON Heungmin,08.07.1992,H M SON,Tottenham Hotspur FC (ENG),183,76,SON,Heungmin
Korea Republic,11,FW,HWANG Heechan,26.01.1996,H C HWANG,FC Red Bull Salzburg (AUT),177,77,HWANG,Heechan
Korea Republic,20,DF,JANG Hyunsoo,28.09.1991,H S JANG,FC Tokyo (JPN),187,77,JANG,Hyunsoo
Korea Republic,5,DF,YUN Youngsun,04.10.1988,Y S YUN,Seongnam FC (KOR),185,78,YUN,Youngsun
Korea Republic,15,MF,JUNG Wooyoung,14.12.1989,W Y JUNG,Vissel Kobe (JPN),186,78,JUNG,Wooyoung
Korea Republic,4,DF,OH Bansuk,20.05.1988,B S OH,Jeju United (KOR),189,79,OH,Bansuk
